"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 01:36:21 GMT 2024","Sat Oct 26 01:36:21 GMT 2024","258","tests","test_user","TestUser","","","test_delete_user",""
"passed","Sat Oct 26 01:36:19 GMT 2024","Sat Oct 26 01:36:19 GMT 2024","286","tests","test_store","TestStore","","","test_place_order",""
"passed","Sat Oct 26 01:36:17 GMT 2024","Sat Oct 26 01:36:18 GMT 2024","274","tests","test_pet","TestPet","","","test_delete_pet",""
"passed","Sat Oct 26 01:36:14 GMT 2024","Sat Oct 26 01:36:17 GMT 2024","3014","tests","test_pet","TestPet","","","test_add_pet",""
"passed","Sat Oct 26 01:36:22 GMT 2024","Sat Oct 26 01:36:22 GMT 2024","259","tests","test_user","TestUser","","","test_create_user",""
"passed","Sat Oct 26 01:36:17 GMT 2024","Sat Oct 26 01:36:17 GMT 2024","292","tests","test_pet","TestPet","","","test_update_pet",""
"passed","Sat Oct 26 01:36:20 GMT 2024","Sat Oct 26 01:36:20 GMT 2024","259","tests","test_user","TestUser","","","test_get_user_by_username",""
"passed","Sat Oct 26 01:36:20 GMT 2024","Sat Oct 26 01:36:20 GMT 2024","276","tests","test_user","TestUser","","","test_create_users_with_array",""
"passed","Sat Oct 26 01:36:19 GMT 2024","Sat Oct 26 01:36:19 GMT 2024","256","tests","test_store","TestStore","","","test_find_purchase_order_by_id",""
"passed","Sat Oct 26 01:36:19 GMT 2024","Sat Oct 26 01:36:19 GMT 2024","255","tests","test_store","TestStore","","","test_delete_order",""
"passed","Sat Oct 26 01:36:20 GMT 2024","Sat Oct 26 01:36:21 GMT 2024","267","tests","test_user","TestUser","","","test_update_user",""
"passed","Sat Oct 26 01:36:21 GMT 2024","Sat Oct 26 01:36:21 GMT 2024","278","tests","test_user","TestUser","","","test_login_user",""
"passed","Sat Oct 26 01:36:20 GMT 2024","Sat Oct 26 01:36:20 GMT 2024","259","tests","test_user","TestUser","","","test_create_users_with_list",""
"passed","Sat Oct 26 01:36:18 GMT 2024","Sat Oct 26 01:36:18 GMT 2024","271","tests","test_pet","TestPet","","","test_find_pets_by_tags",""
"passed","Sat Oct 26 01:36:18 GMT 2024","Sat Oct 26 01:36:19 GMT 2024","325","tests","test_pet","TestPet","","","test_upload_image",""
"passed","Sat Oct 26 01:36:19 GMT 2024","Sat Oct 26 01:36:20 GMT 2024","273","tests","test_store","TestStore","","","test_get_inventory",""
"passed","Sat Oct 26 01:36:18 GMT 2024","Sat Oct 26 01:36:18 GMT 2024","273","tests","test_pet","TestPet","","","test_find_pets_by_status",""
"passed","Sat Oct 26 01:36:21 GMT 2024","Sat Oct 26 01:36:22 GMT 2024","250","tests","test_user","TestUser","","","test_logout_user",""
"passed","Sat Oct 26 01:36:17 GMT 2024","Sat Oct 26 01:36:17 GMT 2024","288","tests","test_pet","TestPet","","","test_get_pet_by_id",""
