"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_user","TestUser","","","test_delete_user",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","1","tests","test_user","TestUser","","","test_logout_user",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_store","TestStore","","","test_delete_order",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_user","TestUser","","","test_get_user_by_username",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_store","TestStore","","","test_get_inventory",""
"broken","Wed Oct 23 17:35:04 GMT 2024","Wed Oct 23 17:35:04 GMT 2024","0","tests","test_pet","TestPet","","","test_get_pet_by_id",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","1","tests","test_user","TestUser","","","test_create_users_with_list",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","1","tests","test_store","TestStore","","","test_place_order",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_user","TestUser","","","test_create_users_with_array",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_user","TestUser","","","test_login_user",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","1","tests","test_user","TestUser","","","test_update_user",""
"broken","Wed Oct 23 17:35:04 GMT 2024","Wed Oct 23 17:35:04 GMT 2024","1","tests","test_pet","TestPet","","","test_add_pet",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_store","TestStore","","","test_find_purchase_order_by_id",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_pet","TestPet","","","test_upload_image",""
"broken","Wed Oct 23 17:35:04 GMT 2024","Wed Oct 23 17:35:04 GMT 2024","0","tests","test_pet","TestPet","","","test_delete_pet",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","0","tests","test_user","TestUser","","","test_create_user",""
"broken","Wed Oct 23 17:35:05 GMT 2024","Wed Oct 23 17:35:05 GMT 2024","1","tests","test_pet","TestPet","","","test_find_pets_by_tags",""
"broken","Wed Oct 23 17:35:04 GMT 2024","Wed Oct 23 17:35:04 GMT 2024","0","tests","test_pet","TestPet","","","test_update_pet",""
"broken","Wed Oct 23 17:35:04 GMT 2024","Wed Oct 23 17:35:04 GMT 2024","0","tests","test_pet","TestPet","","","test_find_pets_by_status",""
