"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","test_upload_image","tests","Thu Jan 30 01:35:06 GMT 2025","passed","Thu Jan 30 01:35:06 GMT 2025","TestPet","test_pet","",""
"","299","test_logout_user","tests","Thu Jan 30 01:35:09 GMT 2025","passed","Thu Jan 30 01:35:10 GMT 2025","TestUser","test_user","",""
"","303","test_delete_pet","tests","Thu Jan 30 01:35:05 GMT 2025","passed","Thu Jan 30 01:35:05 GMT 2025","TestPet","test_pet","",""
"","290","test_find_purchase_order_by_id","tests","Thu Jan 30 01:35:07 GMT 2025","passed","Thu Jan 30 01:35:07 GMT 2025","TestStore","test_store","",""
"","289","test_find_pets_by_tags","tests","Thu Jan 30 01:35:06 GMT 2025","passed","Thu Jan 30 01:35:06 GMT 2025","TestPet","test_pet","",""
"","310","test_create_users_with_list","tests","Thu Jan 30 01:35:08 GMT 2025","passed","Thu Jan 30 01:35:08 GMT 2025","TestUser","test_user","",""
"","294","test_get_user_by_username","tests","Thu Jan 30 01:35:08 GMT 2025","passed","Thu Jan 30 01:35:08 GMT 2025","TestUser","test_user","",""
"","492","test_add_pet","tests","Thu Jan 30 01:35:04 GMT 2025","passed","Thu Jan 30 01:35:05 GMT 2025","TestPet","test_pet","",""
"","290","test_create_users_with_array","tests","Thu Jan 30 01:35:08 GMT 2025","passed","Thu Jan 30 01:35:08 GMT 2025","TestUser","test_user","",""
"","298","test_get_pet_by_id","tests","Thu Jan 30 01:35:05 GMT 2025","passed","Thu Jan 30 01:35:05 GMT 2025","TestPet","test_pet","",""
"","330","test_update_pet","tests","Thu Jan 30 01:35:05 GMT 2025","passed","Thu Jan 30 01:35:05 GMT 2025","TestPet","test_pet","",""
"","296","test_place_order","tests","Thu Jan 30 01:35:06 GMT 2025","passed","Thu Jan 30 01:35:07 GMT 2025","TestStore","test_store","",""
"","300","test_create_user","tests","Thu Jan 30 01:35:10 GMT 2025","passed","Thu Jan 30 01:35:10 GMT 2025","TestUser","test_user","",""
"","294","test_login_user","tests","Thu Jan 30 01:35:09 GMT 2025","passed","Thu Jan 30 01:35:09 GMT 2025","TestUser","test_user","",""
"","294","test_update_user","tests","Thu Jan 30 01:35:08 GMT 2025","passed","Thu Jan 30 01:35:09 GMT 2025","TestUser","test_user","",""
"","289","test_delete_order","tests","Thu Jan 30 01:35:07 GMT 2025","passed","Thu Jan 30 01:35:07 GMT 2025","TestStore","test_store","",""
"","291","test_get_inventory","tests","Thu Jan 30 01:35:07 GMT 2025","passed","Thu Jan 30 01:35:08 GMT 2025","TestStore","test_store","",""
"","297","test_delete_user","tests","Thu Jan 30 01:35:09 GMT 2025","passed","Thu Jan 30 01:35:09 GMT 2025","TestUser","test_user","",""
"","289","test_find_pets_by_status","tests","Thu Jan 30 01:35:05 GMT 2025","passed","Thu Jan 30 01:35:06 GMT 2025","TestPet","test_pet","",""
